Concatenar;Status;Semi-acabado;Descrição Semi-acabado;Qtd Semi-acabado;Centro Semi-acabado;Matéria-Prima;Descrição Matéria-Prima;Qtd Matéria-Prima;UN Matéria-Prima;;;
1700013;SEMI ACABADO;700013;ACIDO ACETIL SALICILICO 500MG COMP;1.000.000;600;010013;ACIDO ACETILSALICILICO; 500,000 ;KG;;;
2700013;SEMI ACABADO;700013;ACIDO ACETIL SALICILICO 500MG COMP;1.000.000;600;010071;CELULOSE MIC (TIPO200); 50,000 ;KG;;;
3700013;SEMI ACABADO;700013;ACIDO ACETIL SALICILICO 500MG COMP;1.000.000;600;010731;FOSF.CAL.DIB.(COMPDIRETA); 20,000 ;KG;;;
4700013;SEMI ACABADO;700013;ACIDO ACETIL SALICILICO 500MG COMP;1.000.000;600;010056;AMIDO; 50,000 ;KG;;;
1700024;SEMI ACABADO;700024;COMPLEXO B COMP REV C/20-E;500.000;600;010041;DIOXIDO SILICIO COLOIDAL ANIDRO; 2,500 ;KG;;;
2700024;SEMI ACABADO;700024;COMPLEXO B COMP REV C/20-E;500.000;600;010071;CELULOSE MIC (TIPO200); 195,625 ;KG;;;
3700024;SEMI ACABADO;700024;COMPLEXO B COMP REV C/20-E;500.000;600;010174;COR ALUM LACA AMARELO CREPUSCULO 6; 0,275 ;KG;;;
4700024;SEMI ACABADO;700024;COMPLEXO B COMP REV C/20-E;500.000;600;010177;COR ALUM LACA AMARELO TARTRAZINA 5; 1,170 ;KG;;;
5700024;SEMI ACABADO;700024;COMPLEXO B COMP REV C/20-E;500.000;600;010228;DIOXIDO TITANIO; 1,940 ;KG;;;
6700024;SEMI ACABADO;700024;COMPLEXO B COMP REV C/20-E;500.000;600;010311;ESTEARATO MAGNESIO; 5,000 ;KG;;;
7700024;SEMI ACABADO;700024;COMPLEXO B COMP REV C/20-E;500.000;600;010511;NICOTINAMIDA; 27,500 ;KG;;;
8700024;SEMI ACABADO;700024;COMPLEXO B COMP REV C/20-E;500.000;600;010681;VIT B1-TIAMINA MONONITRATO; 19,500 ;KG;;;
9700024;SEMI ACABADO;700024;COMPLEXO B COMP REV C/20-E;500.000;600;010684;VIT B2-RIBOFLAVINABASE; 2,125 ;KG;;;
10700024;SEMI ACABADO;700024;COMPLEXO B COMP REV C/20-E;500.000;600;010685;CLOR.PIRIDOXINA( VIT B6); 6,250 ;KG;;;
