Estoques WM com texto breve de material

Nº depósito				WNM

		Material	Texto breve material		UMB	Lote	Cen.	Dep.	Tp.	Posiç	Estq.dispon.	Data venc.	Últ.movim.	T	Últ.entrd.

		010013	ACIDO ACETILSALICILICO		KG	M5G2290-1	600	PES	999	AJU-SAIDA	      0,034	11.09.2028	26.08.2026	S	26.08.2026
		010013	ACIDO ACETILSALICILICO		KG	M5G1539-1	600	PES	999	AJU-SAIDA	      0,819	11.09.2028	26.08.2026	S	26.08.2026
		010018	ACIDO CITRICO ANIDRO		KG	M5L6204	600	PES	999	AJU-SAIDA	      0,050	31.05.2030	26.08.2026	S	26.08.2026
		010018	ACIDO CITRICO ANIDRO		KG	M5C3651	600	PES	999	AJU-SAIDA	      0,516	07.06.2030	28.08.2026	S	28.08.2026
		010056	AMIDO		KG	M5N9028	600	PES	999	AJU-SAIDA	      0,293	03.04.2028	26.08.2026	S	26.08.2026
		010056	AMIDO		KG	M5O9465	600	PES	999	AJU-SAIDA	      0,875	03.04.2028	26.08.2026	S	26.08.2026
		010071	CELULOSE MIC (TIPO200)		KG	M5R5503	600	PES	999	AJU-SAIDA	      0,184	11.03.2029	26.08.2026	S	26.08.2026
		010071	CELULOSE MIC (TIPO200)		KG	M5R1187	600	PES	999	AJU-SAIDA	      0,880	14.07.2029	26.08.2026	S	26.08.2026
		010071	CELULOSE MIC (TIPO200)		KG	M5O0831	600	PES	999	AJU-SAIDA	      0,003	01.01.2031	26.08.2026	S	26.08.2026
		010088	BUTILHIDROXITOLUENO(BHT)		KG	M5L2610	600	PES	999	AJU-SAIDA	      0,385	01.11.2027	28.08.2026	S	28.08.2026
		010104	CAFEINA ANIDRA		KG	M5O1351	600	PES	999	AJU-SAIDA	      0,002	02.01.2031	26.08.2026	S	26.08.2026
		010104	CAFEINA ANIDRA		KG	M4I1803	600	PES	999	AJU-SAIDA	      0,018	01.02.2027	26.08.2026	S	26.08.2026
		010199	COR ALUM LACA VERMELHO 40		KG	M4P2676	600	PES	999	AJU-SAIDA	      0,870	05.02.2029	26.08.2026	S	26.08.2026
		010221	DICLOFENACO SODICO(FREE BROMIDE100%)		KG	M5K2245-1	600	PES	999	AJU-SAIDA	      0,007	01.11.2030	26.08.2026	S	26.08.2026
		010228	DIOXIDO TITANIO		KG	M5M8310	600	PES	999	AJU-SAIDA	      0,555	01.08.2030	28.08.2026	S	28.08.2026
		010328	OLEO VEGETAL HIDROGENADO (LUBRITAB)		KG	M5H4532	600	PES	999	AJU-SAIDA	      0,043	04.03.2027	26.08.2026	S	26.08.2026
		010409	FOSFATO SODIO DIBASICO ANIDRO		KG	M5P6873	600	PES	999	AJU-SAIDA	      0,001	22.10.2028	28.08.2026	S	28.08.2026
		010409	FOSFATO SODIO DIBASICO ANIDRO		KG	M5O4832	600	PES	999	AJU-SAIDA	      0,005	22.10.2028	26.08.2026	S	26.08.2026
		010494	METILDOPA		KG	M5O4655-1	600	PES	999	AJU-SAIDA	      0,042	01.10.2029	26.08.2026	S	26.08.2026
		010494	METILDOPA		KG	M5O4666-1	600	PES	999	AJU-SAIDA	      0,061	28.09.2029	26.08.2026	S	26.08.2026
		010494	METILDOPA		KG	M5O4671-1	600	PES	999	AJU-SAIDA	      0,004	01.10.2029	26.08.2026	S	26.08.2026
		010501	CELULOSE MIC.(TIPO102)		KG	M5Q1427	600	PES	999	AJU-SAIDA	      0,044	16.06.2029	26.08.2026	S	26.08.2026
		010501	CELULOSE MIC.(TIPO102)		KG	M5Q1377	600	PES	999	AJU-SAIDA	      0,008	13.06.2029	26.08.2026	S	26.08.2026
		010501	CELULOSE MIC.(TIPO102)		KG	M5Q1058	600	PES	999	AJU-SAIDA	      0,024	15.06.2029	26.08.2026	S	26.08.2026
		010595	SORBITOL		KG	M5H4461	600	PES	999	AJU-SAIDA	      0,130	30.06.2030	26.08.2026	S	26.08.2026
		010686	VIT C-CRISTAIS INJUSP(AC ASCORBICO)		KG	M4Z1419	600	PES	999	AJU-SAIDA	      1,614	17.12.2028	26.08.2026	S	26.08.2026
		010698	CAPS 1 AZUL / INCOLOR		UN	M5G0571	600	PES	999	AJU-SAIDA	 11.022,892	01.07.2030	26.08.2026	S	26.08.2026
		010739	LACTOSE (50/70)		KG	M5P4320	600	PES	999	AJU-SAIDA	      0,374	05.07.2027	28.08.2026	S	28.08.2026
		010739	LACTOSE (50/70)		KG	M5P4988	600	PES	999	AJU-SAIDA	      0,003	11.06.2028	26.08.2026	S	26.08.2026
		010739	LACTOSE (50/70)		KG	M5Q4557	600	PES	999	AJU-SAIDA	      0,286	05.07.2027	26.08.2026	S	26.08.2026
		010852	ASPARTAME		KG	M5K3656	600	PES	999	AJU-SAIDA	      0,002	11.07.2030	26.08.2026	S	26.08.2026
		010852	ASPARTAME		KG	M5L6474	600	PES	999	AJU-SAIDA	      0,001	02.08.2030	26.08.2026	S	26.08.2026
		010903	GLICINATO ALUMINIO		KG	M5O8249	600	PES	999	AJU-SAIDA	      0,001	17.04.2029	26.08.2026	S	26.08.2026
		010915	CARISOPRODOL (B1)		KG	M5R2572-1	600	PES	999	AJU-SAIDA	      0,199	01.10.2030	26.08.2026	S	26.08.2026
		010915	CARISOPRODOL (B1)		KG	M5Q8330-1	600	PES	999	AJU-SAIDA	      0,079	01.08.2030	26.08.2026	S	26.08.2026
		010915	CARISOPRODOL (B1)		KG	M5Q8329-1	600	PES	999	AJU-SAIDA	      0,260	01.08.2030	26.08.2026	S	26.08.2026
		010915	CARISOPRODOL (B1)		KG	M5Q8328-1	600	PES	999	AJU-SAIDA	      0,119	01.07.2030	26.08.2026	S	26.08.2026
		010915	CARISOPRODOL (B1)		KG	M5Q8327-1	600	PES	999	AJU-SAIDA	      0,079	01.08.2030	26.08.2026	S	26.08.2026
		010915	CARISOPRODOL (B1)		KG	M5P4331-1	600	PES	999	AJU-SAIDA	      2,479	01.10.2030	26.08.2026	S	26.08.2026
		010915	CARISOPRODOL (B1)		KG	M5G2410-1	600	PES	999	AJU-SAIDA	      2,434	01.07.2030	26.08.2026	S	26.08.2026
		010965	POVIDONA K-90		KG	M5B2896	600	PES	999	AJU-SAIDA	      0,053	01.07.2027	26.08.2026	S	26.08.2026
		010965	POVIDONA K-90		KG	M5B0046	600	PES	999	AJU-SAIDA	      0,013	01.07.2027	26.08.2026	S	26.08.2026
		010975	NIMESULIDA(MICRONIZADA)		KG	M5E0723-1	600	PES	999	AJU-SAIDA	      0,205	01.06.2030	28.08.2026	S	28.08.2026
		010975	NIMESULIDA(MICRONIZADA)		KG	M5E0722-1	600	PES	999	AJU-SAIDA	      0,345	01.06.2030	28.08.2026	S	28.08.2026
		010975	NIMESULIDA(MICRONIZADA)		KG	M5E0721-1	600	PES	999	AJU-SAIDA	      0,305	01.06.2030	26.08.2026	S	26.08.2026
		010975	NIMESULIDA(MICRONIZADA)		KG	M5E0719-1	600	PES	999	AJU-SAIDA	      0,665	01.06.2030	26.08.2026	S	26.08.2026
		010975	NIMESULIDA(MICRONIZADA)		KG	M5E0717-1	600	PES	999	AJU-SAIDA	      2,905	01.06.2030	28.08.2026	S	28.08.2026
		010975	NIMESULIDA(MICRONIZADA)		KG	M5E0617-1	600	PES	999	AJU-SAIDA	      1,233	01.06.2030	26.08.2026	S	26.08.2026
		010979	HPMC+PEG		KG	M5N1360	600	PES	999	AJU-SAIDA	      0,409	29.03.2028	26.08.2026	S	26.08.2026
		010979	HPMC+PEG		KG	M5B5072	600	PES	999	AJU-SAIDA	      0,007	03.08.2028	28.08.2026	S	28.08.2026
		011020	CELULOSE MIC(TIPO 101)		KG	M5K0648	600	PES	999	AJU-SAIDA	      0,758	01.02.2030	26.08.2026	S	26.08.2026
		011050	OXIDO FERRO AMARELO		KG	M5N0184	600	PES	999	AJU-SAIDA	      0,443	21.01.2031	28.08.2026	S	28.08.2026
		011054	CLARITROMICINA		KG	M5P7331-1	600	PES	999	AJU-SAIDA	      0,009	29.07.2029	26.08.2026	S	26.08.2026
		011054	CLARITROMICINA		KG	M5E3530-1	600	PES	999	AJU-SAIDA	      0,146	01.08.2030	26.08.2026	S	26.08.2026
